ham	Get 1GB data per day for Rs 199. Valid for 28 days. Recharge now!
ham	Unlimited calls and 2GB per day at Rs 299. Limited time offer!
ham	Your plan expires tomorrow. Please recharge to continue services.
ham	Recharge successful. Rs 249 plan activated. Valid for 30 days.
ham	Low balance alert. Your data pack is about to expire.
spam	Congratulations! You have won a free iPhone. Click here to claim now!
ham	Special weekend offer: Extra 5GB data on recharge above Rs 399.
ham	Reminder: Your daily data limit has been reached.
ham	Payment of Rs 199 received. Your pack is now active.
spam	Earn money from home easily. No investment required. Join now!
ham	Recharge with Rs 599 and get 3GB per day plus OTT subscription.
ham	You have used 90 percent of your data. Consider upgrading your plan.
ham	Your validity ends today. Recharge before midnight.
ham	Your recharge of Rs 399 is successful. Enjoy unlimited benefits.
spam	Get rich quick! Double your money in 7 days. Click now!
ham	Night data unlimited from 12AM to 6AM with Rs 249 pack.
ham	Outgoing services will be stopped due to low balance.
ham	Do not miss out. Recharge now to avoid service interruption.
ham	Rs 599 deducted. New plan activated successfully.
spam	Exclusive deal! Buy now and get 80 percent discount on all items.
